PassengerId,Survived,Pclass,Name,Sex,Age
1,0,3,Panula Master. Eino Viljami,male,1
2,0,3,Braund Mr. Owen Harris,male,22
3,1,3,Johnson Miss. Eleanor Ileen,female,1
4,1,1,Cumings Mrs. John Bradley (Florence Briggs Thayer),female,38
5,1,2,Becker Master. Richard F,male,1
6,1,3,Heikkinen Miss. Laina,female,26
7,1,1,Futrelle Mrs. Jacques Heath (Lily May Peel),female,35
8,0,3,Allen Mr. William Henry,male,35
9,0,1,McCarthy Mr. Timothy J,male,54
10,0,3,Palsson Master. Gosta Leonard,male,2
11,1,3,Johnson Mrs. Oscar W (Elisabeth Vilhelmina Berg),female,27
12,1,2,Nasser Mrs. Nicholas (Adele Achem),female,14
13,1,3,Sandstrom Miss. Marguerite Rut,female,4
14,1,1,Bonnell Miss. Elizabeth,female,58
15,0,3,Saundercock Mr. William Henry,male,20
16,0,3,Andersson Mr. Anders Johan,male,39
17,0,3,Vestrom Miss. Hulda Amanda Adolfina,female,14
18,1,2,Hewlett Mrs. (Mary D Kingcome) ,female,55
19,0,3,Rice Master. Eugene,male,2
20,0,3,Vander Planke Mrs. Julius (Emelia Maria Vandemoortele),female,31
21,0,2,Fynney Mr. Joseph J,male,35
22,1,2,Beesley Mr. Lawrence,male,34
23,1,3,"McGowan Miss. Anna ""Annie""",female,15
24,1,1,Sloper Mr. William Thompson,male,28
25,0,3,Palsson Miss. Torborg Danira,female,8
26,1,3,Asplund Mrs. Carl Oscar (Selma Augusta Emilia Johansson),female,38
27,0,1,Fortune Mr. Charles Alexander,male,19
28,0,1,Uruchurtu Don. Manuel E,male,40
29,0,2,Wheadon Mr. Edward H,male,66
30,0,1,Meyer Mr. Edgar Joseph,male,28
31,0,1,Holverson Mr. Alexander Oskar,male,42
32,0,3,Cann Mr. Ernest Charles,male,21
33,0,3,Vander Planke Miss. Augusta Maria,female,18
34,1,3,Nicola-Yarred Miss. Jamila,female,14
35,0,3,Ahlin Mrs. Johan (Johanna Persdotter Larsson),female,40
36,0,2,Turpin Mrs. William John Robert (Dorothy Ann Wonnacott),female,27
37,1,2,Laroche Miss. Simonne Marie Anne Andree,female,3
38,1,3,Devaney Miss. Margaret Delia,female,19
39,0,3,Arnold-Franchi Mrs. Josef (Josefine Franchi),female,18
40,0,3,Panula Master. Juha Niilo,male,7
41,0,3,Nosworthy Mr. Richard Cater,male,21
42,1,1,Harper Mrs. Henry Sleeper (Myna Haxtun),female,49
43,1,2,Faunthorpe Mrs. Lizzie (Elizabeth Anne Wilkinson),female,29
44,0,1,Ostby Mr. Engelhart Cornelius,male,65
45,1,2,Rugg Miss. Emily,female,21
46,1,2,West Miss. Constance Mirium,female,5
47,0,3,Goodwin Master. William Frederick,male,11
48,0,3,Sirayanian Mr. Orsen,male,22
49,1,1,Icard Miss. Amelie,female,38
50,0,1,Harris Mr. Henry Birkhardt,male,45
51,0,3,Skoog Master. Harald,male,4
52,1,2,Nye Mrs. (Elizabeth Ramell),female,29
53,0,3,Crease Mr. Ernest James,male,19
54,1,3,Andersson Miss. Erna Alexandra,female,17
55,0,3,Kink Mr. Vincenz,male,26
56,0,2,Jenkin Mr. Stephen Curnow,male,32
57,0,3,Goodwin Miss. Lillian Amy,female,16
58,0,2,Hood Mr. Ambrose Jr,male,21
